names,scores,logfoldchanges,pvals,pvals_adj,comparison,ref_group,target_group
Jarid2,-0.3086801,-24.685362,0.757564900995361,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Plekhb1,-0.31752247,-0.33389598,0.7508471890408601,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Prdm16,-0.31832632,-24.429596,0.7502374148097044,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Znrf3,-0.31832632,-24.520685,0.7502374148097044,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Nckap5,-0.31832632,-24.611176,0.7502374148097044,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
B230323A14Rik,-0.3279726,-24.806442,0.7429323941304775,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Aspa,-0.3279726,-24.769012,0.7429323941304775,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Myl9,-0.3279726,-24.661495,0.7429323941304775,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Zfp423,-0.3279726,-24.697044,0.7429323941304775,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Kcnc1,-0.3279726,-24.464445,0.7429323941304775,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Chrdl1,-0.3279726,-24.596588,0.7429323941304775,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Col1a2,-0.3279726,-24.714571,0.7429323941304775,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Tgfbr1,-0.3279726,-24.709341,0.7429323941304775,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Aak1,-0.3322598,-0.8533923,0.7396930888591062,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Phlpp1,-0.33654702,-0.4910546,0.7364583945953247,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Prorsd1,-0.33761883,-24.647448,0.7356504476929084,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Lgals3bp,-0.33761883,-24.533865,0.7356504476929084,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Myoc,-0.33761883,-25.528074,0.7356504476929084,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Fam107b,-0.33761883,-24.574875,0.7356504476929084,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Zfp521,-0.3472651,-24.63419,0.7283921780223135,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Cntnap2,-0.3472651,-24.63646,0.7283921780223135,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Gli1,-0.3472651,-24.763689,0.7283921780223135,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Meis1,-0.34753305,-1.7661383,0.7281909031662123,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Mboat2,-0.3483369,-1.043753,0.7275871911021631,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Csgalnact1,-0.3504805,-1.3275099,0.725978119529785,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Btg2,-0.35691133,-24.987522,0.721158181286085,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Suclg2,-0.35691133,-24.772205,0.721158181286085,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Mal,-0.3665576,-24.971521,0.7139490471485218,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Tmtc2,-0.3665576,-24.829418,0.7139490471485218,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Ttc23,-0.3665576,-24.85198,0.7139490471485218,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
A2m,-0.3665576,-24.881474,0.7139490471485218,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Utp14b,-0.3665576,-24.870848,0.7139490471485218,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Cecr2,-0.3665576,-24.967365,0.7139490471485218,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Zfp532,-0.37539998,-1.3443718,0.7073630133506907,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Otx2,-0.37620384,-24.77123,0.7067653586285629,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Cdh4,-0.37620384,-24.905733,0.7067653586285629,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Rnd3,-0.37620384,-25.02575,0.7067653586285629,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Cdh20,-0.37673974,-0.96389323,0.7063670225218425,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Notch1,-0.38102698,-0.57558286,0.703183236817168,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Plat,-0.38451034,-0.94158006,0.7006002350461995,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Adamts9,-0.3858501,-24.901072,0.6996076919604775,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Ptgds,-0.39549634,-25.008526,0.6924766164575682,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Slc46a1,-0.39549634,-24.876194,0.6924766164575682,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Mgat4c,-0.39549634,-25.01355,0.6924766164575682,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Peli2,-0.40058744,-1.507619,0.6887239051523417,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Gm973,-0.4051426,-24.872715,0.6853726943789389,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Gjb2,-0.4244351,-24.989569,0.6712485234824057,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Pdgfd,-0.4244351,-24.94875,0.6712485234824057,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
