names,scores,logfoldchanges,pvals,pvals_adj,comparison,ref_group,target_group
Ror2,-0.20402557,-2.1409252,0.8383335192506824,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Cdc14a,-0.20769408,-0.6777886,0.8354678428058453,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Unc79,-0.21150368,-1.9322083,0.8324942586744938,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Gm5089,-0.22123934,-22.381405,0.8249060770672826,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Slc25a21,-0.22123934,-22.294477,0.8249060770672826,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Pax6os1,-0.22123934,-22.293095,0.8249060770672826,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Nphs1,-0.22123934,-22.646015,0.8249060770672826,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
En2,-0.22123934,-22.334684,0.8249060770672826,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Nrg1,-0.22123934,-22.286411,0.8249060770672826,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Adamts9,-0.22758868,-0.9577596,0.8199660163083038,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Ppara,-0.22942294,-2.2626944,0.8185402073651871,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Tead1,-0.23690106,-0.8566951,0.8127335503990573,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Tiam2,-0.2372538,-1.0439441,0.8124599029177202,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Kcnd3,-0.23824148,-1.3075863,0.811693811902562,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
D630003M21Rik,-0.23922914,-1.0666798,0.8109279011314573,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
C1ql3,-0.24889426,-22.6869,0.8034425750032759,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Csmd3,-0.24889426,-22.601084,0.8034425750032759,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
