names,scores,logfoldchanges,pvals,pvals_adj,comparison,ref_group,target_group
Pcp4,1.4789767,0.7951269,0.13914653012441186,0.5153575189793032,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Rps27,1.4118247,0.05845209,0.1580015687049402,0.5724694518294934,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Adap2,1.3665124,1.6917584,0.17177817168683673,0.6113102195261093,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Rpl36a,1.315077,0.10294604,0.18848406139762297,0.6613475838513088,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Pkib,1.2750715,2.906262,0.20228395348888195,0.697530874099593,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Sirt2,1.2283304,0.6040047,0.21932296481234037,0.7397064580517382,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Fcgr2b,1.2001632,25.095205,0.23007592602249094,0.7707736215158826,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
C5ar1,1.2001632,25.369408,0.23007592602249094,0.7707736215158826,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Cxcl2,1.1203566,4.562147,0.2625618649697825,0.8486230016629189,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Csf2rb,1.1201524,25.213184,0.2626488190146734,0.8486230016629189,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
H2-Ab1,1.1201524,25.285439,0.2626488190146734,0.8486230016629189,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Maml2,1.0768812,1.7477142,0.2815333348269484,0.8899985585318904,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Gapdh,0.94951695,0.38534784,0.3423577554534588,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
H2-K1,0.9233909,0.44807452,0.355803508273034,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Ptprj,0.8964485,2.5263414,0.37001327151246144,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Cnp,0.8184787,0.5493136,0.4130838926771089,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Rrad,0.8058239,0.44010428,0.42034437850455075,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
A930011G23Rik,0.7460199,4.833647,0.4556554099181793,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Cxcl10,0.72009796,24.429634,0.4714646716583485,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Itpr2,0.7056062,0.88894695,0.4804330604088801,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Slc1a3,0.693972,0.24734367,0.48769978401934244,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Cck,0.6815213,1.6214342,0.4955416926766961,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Ch25h,0.66580486,4.4783235,0.5055358268341466,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Tns3,0.6647843,1.1974812,0.5061884463100736,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Ctso,0.5911008,0.59405184,0.5544528600847136,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Suclg2,0.5855899,0.8282904,0.5581511496137166,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Ccl24,0.5600762,23.645842,0.5754274593168339,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Rpl35,0.5557899,0.05318476,0.5783544849860539,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Lgals9,0.5206831,0.6074613,0.6025875555123437,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Atp8a2,0.5053749,3.9426286,0.6132955548417416,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Mag,0.5049667,0.95263636,0.6135822482018716,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Ebf3,0.5041502,3.370742,0.6141558121990276,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Nav2,0.50006807,1.2197254,0.6170271684447666,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Gfap,0.49965984,2.0969312,0.6173146273737735,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Atp6v1f,0.49802694,0.17671543,0.6184650491213772,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Sik2,0.4972105,1.9310427,0.6190406111100188,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Serpine2,0.49537352,0.09911934,0.6203364795797992,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Rps7,0.4923119,0.021452598,0.6224988804376351,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Fos,0.47822833,0.20823088,0.6324876973858553,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Plxna4,0.46822697,1.4692678,0.6396222844344934,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Lsp1,0.46618587,1.555297,0.6410824554310237,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Aldoc,0.46598178,0.5938941,0.6412285490623661,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Zswim6,0.4408763,1.3412297,0.659302542169514,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Rgs9,0.42393523,3.1949832,0.6716130479227052,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Dusp5,0.42393523,3.0700097,0.6716130479227052,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Slc9a3r1,0.42332292,0.66391975,0.6720596849636847,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Eepd1,0.41638318,1.723906,0.6771296306111085,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Abcb8,0.41577086,1.2556685,0.6775776860741343,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Fam19a2,0.40005443,23.553976,0.6891164252088102,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Slc9a9,0.39474759,2.7840793,0.6930291784636903,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Dock4,0.3665805,1.967001,0.7139319629202172,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Rbm43,0.358212,1.2189766,0.7201846638985756,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Gad2,0.358212,1.0519485,0.7201846638985756,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Arhgap11a,0.3449449,4.5614433,0.7301357992925475,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Apoc1,0.28289562,1.6733583,0.7772568409819771,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Camk2a,0.28289562,1.3676008,0.7772568409819771,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Fhit,0.281671,1.4433291,0.778195809802165,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Pde1b,0.281671,1.3047385,0.778195809802165,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Fabp7,0.27758878,1.2784945,0.781328038241282,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Snx29,0.27064908,0.84702,0.7866609510918773,1.0,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
