names,scores,logfoldchanges,pvals,pvals_adj,comparison,ref_group,target_group
Il10ra,5.4884996,27.56561,4.053621189576465e-08,3.336313736276926e-07,astrocyte_vs_microglial cell,astrocyte,microglial cell
Cfh,5.4595118,7.21494,4.774463049882392e-08,3.897520857046851e-07,astrocyte_vs_microglial cell,astrocyte,microglial cell
Gpr183,5.3954744,27.535475,6.83428080748254e-08,5.533830613346187e-07,astrocyte_vs_microglial cell,astrocyte,microglial cell
Gpr84,5.3954744,27.514105,6.83428080748254e-08,5.533830613346187e-07,astrocyte_vs_microglial cell,astrocyte,microglial cell
Tbxas1,5.37325,8.192134,7.732999072180009e-08,6.211244234682737e-07,astrocyte_vs_microglial cell,astrocyte,microglial cell
Tmem173,5.3208957,6.325111,1.032575572559568e-07,8.227693805255523e-07,astrocyte_vs_microglial cell,astrocyte,microglial cell
Prkcd,5.225235,2.0526094,1.7393400212778663e-07,1.3695590718723356e-06,astrocyte_vs_microglial cell,astrocyte,microglial cell
Blnk,5.116398,27.412062,3.114256368561572e-07,2.4235458121101726e-06,astrocyte_vs_microglial cell,astrocyte,microglial cell
Atp6v1f,5.030488,0.8870398,4.892335151316952e-07,3.7778649817119322e-06,astrocyte_vs_microglial cell,astrocyte,microglial cell
Sox4,4.951605,1.9317435,7.360386556765269e-07,5.618615692187228e-06,astrocyte_vs_microglial cell,astrocyte,microglial cell
Fermt3,4.904873,7.717988,9.348793004535778e-07,7.109348292422644e-06,astrocyte_vs_microglial cell,astrocyte,microglial cell
H2-K1,4.7245317,1.400397,2.3064625568921277e-06,1.714842049733924e-05,astrocyte_vs_microglial cell,astrocyte,microglial cell
Maf,4.7149568,3.1922677,2.417620027633886e-06,1.7908296500991747e-05,astrocyte_vs_microglial cell,astrocyte,microglial cell
Cd86,4.5582457,27.165955,5.158273194192839e-06,3.751471413958428e-05,astrocyte_vs_microglial cell,astrocyte,microglial cell
Dusp1,4.2565937,2.1208403,2.075651328233359e-05,0.00014668913980447768,astrocyte_vs_microglial cell,astrocyte,microglial cell
Pde3b,4.0902195,5.6558948,4.309650235376619e-05,0.00029518152297100135,astrocyte_vs_microglial cell,astrocyte,microglial cell
Cd34,3.8479495,4.8042817,0.00011911064759361067,0.0007917166306117012,astrocyte_vs_microglial cell,astrocyte,microglial cell
C3ar1,3.7931356,8.150889,0.00014875689673434983,0.0009754550605531137,astrocyte_vs_microglial cell,astrocyte,microglial cell
Lyz2,3.7913787,7.726741,0.00014981331403586412,0.0009791719871625106,astrocyte_vs_microglial cell,astrocyte,microglial cell
Entpd1,3.7836485,4.3399734,0.00015454601784400105,0.0010068144484951208,astrocyte_vs_microglial cell,astrocyte,microglial cell
Slamf8,3.7210166,26.988136,0.0001984223158364064,0.0012760277545749608,astrocyte_vs_microglial cell,astrocyte,microglial cell
Lgals9,3.603044,7.238959,0.0003145123189248805,0.0019905842969929147,astrocyte_vs_microglial cell,astrocyte,microglial cell
Cdkn1a,3.5977733,1.8139985,0.0003209530589360595,0.002018572697711066,astrocyte_vs_microglial cell,astrocyte,microglial cell
